modelo,variable,lag,acf_orig,acf_imp,pacf_orig,pacf_imp
BRITS,precip,0,1.0,1.0,1.0,1.0
BRITS,precip,1,0.1011,0.1011,0.1011,0.1011
BRITS,precip,2,0.2046,0.2046,0.1966,0.1966
BRITS,precip,3,0.0488,0.0488,0.013,0.013
BRITS,precip,4,0.0748,0.0748,0.0312,0.0312
BRITS,precip,5,0.0463,0.0463,0.0273,0.0273
BRITS,precip,6,0.0864,0.0864,0.063,0.063
BRITS,precip,7,0.0893,0.0893,0.0657,0.0657
BRITS,precip,8,0.105,0.105,0.0662,0.0662
BRITS,precip,9,0.1191,0.1191,0.0777,0.0777
BRITS,precip,10,0.1134,0.1134,0.0644,0.0644
BRITS,precip,11,0.0674,0.0674,0.0102,0.0102
BRITS,precip,12,0.0879,0.0879,0.0389,0.0389
BRITS,precip,13,0.0963,0.0963,0.0598,0.0598
BRITS,precip,14,0.0643,0.0643,0.0119,0.0119
BRITS,precip,15,0.0938,0.0938,0.0407,0.0407
BRITS,precip,16,0.1251,0.1251,0.0808,0.0808
BRITS,precip,17,0.133,0.133,0.075,0.075
BRITS,precip,18,0.2667,0.2667,0.2111,0.2111
BRITS,precip,19,0.2228,0.2228,0.1587,0.1587
BRITS,precip,20,0.2802,0.2802,0.1994,0.1994
BRITS,evap,0,1.0,1.0,1.0,1.0
BRITS,evap,1,0.5954,0.5954,0.5956,0.5956
BRITS,evap,2,0.5388,0.5388,0.2858,0.2858
BRITS,evap,3,0.5431,0.5431,0.2432,0.2432
BRITS,evap,4,0.5368,0.5368,0.181,0.181
BRITS,evap,5,0.5206,0.5206,0.1269,0.1269
BRITS,evap,6,0.5137,0.5137,0.1079,0.1079
BRITS,evap,7,0.5042,0.5042,0.0832,0.0832
BRITS,evap,8,0.499,0.499,0.0751,0.0751
BRITS,evap,9,0.5056,0.5056,0.088,0.088
BRITS,evap,10,0.5247,0.5247,0.1161,0.1161
BRITS,evap,11,0.5067,0.5067,0.059,0.059
BRITS,evap,12,0.4955,0.4955,0.0439,0.0439
BRITS,evap,13,0.4989,0.4989,0.0531,0.0531
BRITS,evap,14,0.5139,0.5139,0.0797,0.0797
BRITS,evap,15,0.5307,0.5307,0.1018,0.1018
BRITS,evap,16,0.5628,0.5628,0.149,0.149
BRITS,evap,17,0.5861,0.5861,0.1652,0.1652
BRITS,evap,18,0.575,0.575,0.1155,0.1155
BRITS,evap,19,0.5922,0.5922,0.1475,0.1475
BRITS,evap,20,0.5802,0.5802,0.1007,0.1007
BRITS,tmax,0,1.0,1.0,1.0,1.0
BRITS,tmax,1,0.648,0.648,0.6482,0.6482
BRITS,tmax,2,0.4981,0.4981,0.1351,0.1351
BRITS,tmax,3,0.4348,0.4348,0.1199,0.1199
BRITS,tmax,4,0.4116,0.4116,0.1133,0.1133
BRITS,tmax,5,0.4069,0.4069,0.1087,0.1087
BRITS,tmax,6,0.389,0.389,0.065,0.065
BRITS,tmax,7,0.3879,0.3879,0.0859,0.0859
BRITS,tmax,8,0.385,0.385,0.0697,0.0697
BRITS,tmax,9,0.3772,0.3772,0.0546,0.0546
BRITS,tmax,10,0.3709,0.3709,0.0517,0.0517
BRITS,tmax,11,0.3526,0.3526,0.0235,0.0235
BRITS,tmax,12,0.3603,0.3603,0.0652,0.0652
BRITS,tmax,13,0.3694,0.3694,0.0605,0.0605
BRITS,tmax,14,0.3923,0.3923,0.0887,0.0887
BRITS,tmax,15,0.4253,0.4253,0.1116,0.1116
BRITS,tmax,16,0.4583,0.4583,0.1233,0.1233
BRITS,tmax,17,0.5137,0.5137,0.1804,0.1804
BRITS,tmax,18,0.5548,0.5548,0.1797,0.1797
BRITS,tmax,19,0.5754,0.5754,0.1746,0.1746
BRITS,tmax,20,0.534,0.534,0.0727,0.0727
BRITS,tmin,0,1.0,1.0,1.0,1.0
BRITS,tmin,1,0.9424,0.9424,0.9427,0.9427
BRITS,tmin,2,0.9037,0.9037,0.1402,0.1402
BRITS,tmin,3,0.8785,0.8785,0.1312,0.1312
BRITS,tmin,4,0.8657,0.8657,0.1488,0.1488
BRITS,tmin,5,0.8586,0.8586,0.1203,0.1203
BRITS,tmin,6,0.8519,0.8519,0.0813,0.0813
BRITS,tmin,7,0.8485,0.8485,0.0988,0.0988
BRITS,tmin,8,0.847,0.847,0.0902,0.0902
BRITS,tmin,9,0.8477,0.8477,0.0956,0.0956
BRITS,tmin,10,0.8495,0.8495,0.0908,0.0908
BRITS,tmin,11,0.8429,0.8429,-0.0017,-0.0017
BRITS,tmin,12,0.8391,0.8391,0.0587,0.0587
BRITS,tmin,13,0.8407,0.8407,0.0921,0.0921
BRITS,tmin,14,0.8441,0.8441,0.0784,0.0784
BRITS,tmin,15,0.8486,0.8486,0.0843,0.0843
BRITS,tmin,16,0.8589,0.8589,0.1486,0.1486
BRITS,tmin,17,0.8747,0.8747,0.1863,0.1863
BRITS,tmin,18,0.8859,0.8859,0.1333,0.1333
BRITS,tmin,19,0.892,0.892,0.1209,0.1209
BRITS,tmin,20,0.8903,0.8903,0.0731,0.0731
